epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,22189.6,1.55929,2.1243,1.73932,0.58427,0.5417,0.5402,0.26278,1.65168,2.04885,1.79259,0.000169908,0.000169908,0.000169908
91,22733.5,1.62129,2.12112,1.79645,0.5898,0.50629,0.5348,0.26131,1.67273,2.04236,1.80068,0.000155761,0.000155761,0.000155761
92,23277.7,1.57509,2.02511,1.74788,0.63286,0.51533,0.55172,0.2705,1.66652,2.00909,1.79087,0.000141614,0.000141614,0.000141614
93,23818.4,1.5734,2.00033,1.74499,0.60479,0.52424,0.54735,0.27444,1.67221,2.03457,1.79576,0.000127467,0.000127467,0.000127467
94,24360.2,1.58318,1.99033,1.75043,0.59643,0.51463,0.55582,0.27473,1.66424,1.9948,1.79128,0.00011332,0.00011332,0.00011332
95,24901.7,1.56248,1.96894,1.7344,0.60397,0.52391,0.55295,0.27651,1.65163,1.99419,1.79097,9.91726e-05,9.91726e-05,9.91726e-05
96,25440.8,1.54692,1.93483,1.74074,0.63168,0.51423,0.56515,0.27933,1.6543,1.97949,1.78237,8.50255e-05,8.50255e-05,8.50255e-05
97,25983.4,1.54127,1.93663,1.73263,0.60818,0.53022,0.5663,0.27798,1.65241,1.99116,1.7825,7.08784e-05,7.08784e-05,7.08784e-05
98,26534,1.53795,1.93691,1.7012,0.59413,0.54166,0.56625,0.27618,1.64336,1.98018,1.77865,5.67313e-05,5.67313e-05,5.67313e-05
99,27079.6,1.53002,1.93179,1.71381,0.64565,0.51918,0.5686,0.28071,1.64686,1.97218,1.77703,4.25842e-05,4.25842e-05,4.25842e-05
100,27627.7,1.52528,1.92184,1.71826,0.66481,0.51501,0.57109,0.2821,1.64865,1.96544,1.77967,2.84371e-05,2.84371e-05,2.84371e-05
